instrument 9  start 0.00000  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 0.00000  duration 0.25753  amplitude 30  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 0.00002  duration 0.51505  amplitude 30  pitch 64.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 0.00007  duration 0.25753  amplitude 30  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 0.00010  duration 0.51505  amplitude 30  pitch 64.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 0.00015  duration 0.25753  amplitude 30  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 0.00017  duration 0.51505  amplitude 30  pitch 64.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 0.51522  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 0.51522  duration 0.00000  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 0.76520  duration 0.00000  amplitude 31  pitch 64.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 1.01517  duration 0.00000  amplitude 31  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 0.74992  duration 0.00000  amplitude 31  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 1.01517  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 1.01517  duration 0.50000  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 1.51517  duration 0.50000  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 2.01518  duration 0.50000  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 1.50000  duration 0.25000  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 1.75000  duration 0.01250  amplitude 32  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 1.76250  duration 0.01250  amplitude 32  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 2.00000  duration 0.25000  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 2.25000  duration 0.50000  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 2.75000  duration 0.50000  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 3.25000  duration 0.50000  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 3.75000  duration 0.50000  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 4.25000  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 4.25000  duration 0.00000  amplitude 33  pitch 71.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 4.25000  duration 0.00000  amplitude 33  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 4.25000  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 4.25000  duration 0.01250  amplitude 34  pitch 71.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 4.26250  duration 0.01312  amplitude 34  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 4.50065  duration 0.01250  amplitude 34  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 4.51315  duration 0.01250  amplitude 34  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 4.75068  duration 0.24998  amplitude 34  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 5.00070  duration 0.26247  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 5.26285  duration 0.01287  amplitude 34  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 5.45575  duration 1.54485  amplitude 34  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 7.00059  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 7.00059  duration 0.00000  amplitude 35  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 7.00060  duration 0.00000  amplitude 35  pitch 71.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 7.00062  duration 0.00000  amplitude 35  pitch 72.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 7.00062  duration 0.00000  amplitude 35  pitch 71.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 7.00062  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 7.00062  duration 0.00000  amplitude 0  pitch 64.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 7.00062  duration 0.00000  amplitude 36  pitch 79.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 7.00062  duration 0.00000  amplitude 0  pitch 6.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 7.00062  duration 0.00000  amplitude 37  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 7.75062  duration 0.00000  amplitude 37  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 8.50062  duration 0.00000  amplitude 37  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 9.25062  duration 0.00000  amplitude 37  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 10.00062  duration 0.00000  amplitude 37  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 10.75062  duration 0.00000  amplitude 37  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 11.50062  duration 0.00000  amplitude 37  pitch 68.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 12.25062  duration 0.00000  amplitude 37  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.00000  amplitude 37  pitch 72.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.00000  amplitude 0  pitch 6.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.25002  amplitude 38  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.25002  amplitude 38  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 68.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.25002  amplitude 38  pitch 72.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.75070  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.75070  duration 0.00000  amplitude 39  pitch 64.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.76319  duration 0.00000  amplitude 39  pitch 66.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 14.00067  duration 0.00000  amplitude 39  pitch 64.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 14.01317  duration 0.00000  amplitude 39  pitch 66.00000  channel 0 ;   Player 1_70148393301380  
